time,rate
0.5,10.00246735036679
1.5,10.0222025007606
2.5,10.061653325337442
3.5,10.120780890896405
4.5,10.19952684566885
5.5,10.297813476904519
6.5,10.415543787564687
7.5,10.552601592046468
8.5,10.708851630844038
9.5,10.884139704033398
10.5,11.078292823449093
11.5,11.291119383402652
12.5,11.522409349774264
13.5,11.771934467291096
14.5,12.039448484787691
15.5,12.324687398226132
16.5,12.627369711236177
17.5,12.947196712918156
18.5,13.283852772634596
19.5,13.637005651499532
20.5,14.006306830258188
21.5,14.391391853233406
22.5,14.791880687999381
23.5,15.207378100427807
24.5,15.637474044736223
25.5,16.081744068153714
26.5,16.539749729804534
27.5,17.011039033396326
28.5,17.495146873285897
29.5,17.991595493482322
30.5,18.49989495913443
31.5,19.019543640037366
32.5,19.550028705681022
33.5,20.090826631351852
34.5,20.641403714788535
35.5,21.2012166028817
36.5,21.769712827897823
37.5,22.346331352698204
38.5,22.93050312441486
39.5,23.521651636037014
40.5,24.11919349535392
41.5,24.722539000692546
42.5,25.33109272288189
43.5,25.94425409286975
44.5,26.561417994411812
45.5,27.181975361248345
46.5,27.805313778179094
47.5,28.4308180854431
48.5,29.05787098580715
49.5,29.685853653763587
50.5,30.314146346236413
51.5,30.94212901419285
52.5,31.5691819145569
53.5,32.19468622182091
54.5,32.81802463875165
55.5,33.438582005588195
56.5,34.05574590713025
57.5,34.66890727711811
58.5,35.27746099930746
59.5,35.880806504646074
60.5,36.47834836396299
61.5,37.069496875585145
62.5,37.65366864730179
63.5,38.23028717210218
64.5,38.7987833971183
65.5,39.35859628521146
66.5,39.909173368648155
67.5,40.44997129431898
68.5,40.98045635996264
69.5,41.50010504086557
70.5,42.00840450651768
71.5,42.50485312671411
72.5,42.98896096660367
73.5,43.46025027019547
74.5,43.91825593184629
75.5,44.36252595526378
76.5,44.7926218995722
77.5,45.20811931200062
78.5,45.60860814676659
79.5,45.99369316974181
80.5,46.362994348500465
81.5,46.7161472273654
82.5,47.052803287081844
83.5,47.37263028876383
84.5,47.67531260177387
85.5,47.96055151521231
86.5,48.2280655327089
87.5,48.47759065022573
88.5,48.70888061659735
89.5,48.92170717655091
90.5,49.1158602959666
91.5,49.29114836915596
92.5,49.44739840795353
93.5,49.58445621243531
94.5,49.70218652309548
95.5,49.80047315433115
96.5,49.879219109103595
97.5,49.938346674662554
98.5,49.9777974992394
99.5,49.997532649633214
100.5,49.99986339663438
101.5,49.9987705809057
102.5,49.99658500916105
103.5,49.99330680082262
104.5,49.9889361350155
105.5,49.98347325055795
106.5,49.9769184459483
107.5,49.96927207934868
108.5,49.960534568565436
109.5,49.95070639102627
110.5,49.93978808375422
111.5,49.927780243338255
112.5,49.91468352590069
113.5,49.900498647061355
114.5,49.88522638189849
115.5,49.86886756490636
116.5,49.851423089949705
117.5,49.83289391021486
118.5,49.81328103815769
119.5,49.792585545448276
120.5,49.77080856291234
121.5,49.747951280469465
122.5,49.724014947068056
123.5,49.69900087061713
124.5,49.672910417914835
125.5,49.64574501457378
126.5,49.61750614494307
127.5,49.58819535202731
128.5,49.557814237402226
129.5,49.52636446112713
130.5,49.49384774165428
131.5,49.46026585573493
132.5,49.42562063832227
133.5,49.38991398247117
134.5,49.353147839234694
135.5,49.315324217557546
136.5,49.27644518416629
137.5,49.23651286345638
138.5,49.19552943737614
139.5,49.15349714530748
140.5,49.11041828394361
141.5,49.06629520716344
142.5,49.02113032590307
143.5,48.97492610802398
144.5,48.92768507817823
145.5,48.87940981767045
146.5,48.830102964316865
147.5,48.77976721230113
148.5,48.7284053120271
149.5,48.676020069968565
150.5,48.6226143485159
151.5,48.56819106581966
152.5,48.51275319563113
153.5,48.4563037671398
154.5,48.39884586480794
155.5,48.34038262820193
156.5,48.28091725182083
157.5,48.220452984921764
158.5,48.1589931313424
159.5,48.09654104932039
160.5,48.03310015130994
161.5,47.96867390379526
162.5,47.90326582710125
163.5,47.83687949520106
164.5,47.769518535520845
165.5,47.70118662874156
166.5,47.631887508597835
167.5,47.56162496167396
168.5,47.490402827196974
169.5,47.41822499682689
170.5,47.345095414444074
171.5,47.271018075933696
172.5,47.19599702896745
173.5,47.12003637278233
174.5,47.04314025795668
175.5,46.96531288618339
176.5,46.8865585100403
177.5,46.806881432757855
178.5,46.72628600798395
179.5,46.64477663954606
180.5,46.562357781210586
181.5,46.47903393643955
182.5,46.394809658144425
183.5,46.30968954843747
184.5,46.223678258380176
185.5,46.13678048772918
186.5,46.04900098467944
187.5,45.96034454560479
188.5,45.87081601479588
189.5,45.78042028419545
190.5,45.68916229313104
191.5,45.597047028045125
192.5,45.5040795222226
193.5,45.410264855515784
194.5,45.31560815406687
195.5,45.22011459002779
196.5,45.12378938127762
197.5,45.02663779113747
198.5,44.92866512808288
199.5,44.829876745453774
200.5,44.73027804116196
201.5,44.62987445739611
202.5,44.52867148032448
203.5,44.42667463979511
204.5,44.323889509033634
205.5,44.2203217043388
206.5,44.11597688477555
207.5,44.01086075186582
208.5,43.904979049277024
209.5,43.79833756250818
210.5,43.69094211857377
211.5,43.58279858568541
212.5,43.47391287293115
213.5,43.364290929952574
214.5,43.253938746619795
215.5,43.14286235270407
216.5,43.031067817548376
217.5,42.918561249735745
218.5,42.805348796755524
219.5,42.69143664466742
220.5,42.57683101776352
221.5,42.46153817822818
222.5,42.34556442579586
223.5,42.228916097406874
224.5,42.11159956686116
225.5,41.99362124446998
226.5,41.87498757670568
227.5,41.75570504584947
228.5,41.63578016963713
229.5,41.51521950090297
230.5,41.394029627221755
231.5,41.2722171705487
