timestamp,load,nInstances
10.000000, 1.000000, 1
20.000000, 1.000000, 2
30.000000, 0.986667, 3
40.000000, 0.994681, 4
50.000000, 1.000000, 5
60.000000, 1.000000, 6
70.000000, 1.000000, 7
80.000000, 1.000000, 8
90.000000, 0.998338, 9
100.000000, 0.994319, 10
110.000000, 0.997901, 11
120.000000, 0.998968, 12
130.000000, 0.961538, 13
140.000000, 0.927904, 14
150.000000, 0.916120, 15
160.000000, 0.779932, 16
170.000000, 0.735294, 17
180.000000, 0.693732, 18
190.000000, 0.666667, 18
200.000000, 0.637993, 18
210.000000, 0.583333, 18
220.000000, 0.555556, 18
230.000000, 0.555556, 18
240.000000, 0.555556, 18
250.000000, 0.430556, 18
260.000000, 0.555556, 18
270.000000, 0.333333, 18
280.000000, 0.333333, 18
290.000000, 0.333333, 18
300.000000, 0.333271, 18
310.000000, 0.333333, 18
320.000000, 0.333333, 18
330.000000, 0.333333, 18
340.000000, 0.333333, 18
350.000000, 0.333333, 18
360.000000, 0.333273, 18
370.000000, 0.333333, 18
380.000000, 0.333333, 18
390.000000, 0.333333, 18
400.000000, 0.111111, 18
410.000000, 0.111111, 18
420.000000, 0.111111, 18
430.000000, 0.111111, 18
440.000000, 0.111046, 18
450.000000, 0.111111, 18
460.000000, 0.111043, 18
470.000000, 0.111111, 18
480.000000, 0.111111, 18
490.000000, 0.111038, 18
500.000000, 0.111035, 18
510.000000, 0.111111, 18
520.000000, 0.111029, 18
530.000000, 0.111025, 18
540.000000, 0.111022, 18
550.000000, 0.111017, 18
560.000000, 0.111111, 18
570.000000, 0.111007, 18
580.000000, 0.180445, 18
590.000000, 0.110993, 18
600.000000, 0.110985, 18
610.000000, 0.333333, 18
620.000000, 0.402778, 18
630.000000, 0.333333, 18
640.000000, 0.333147, 18
650.000000, 0.388889, 18
660.000000, 0.555556, 18
670.000000, 0.333333, 18
680.000000, 0.555290, 18
690.000000, 0.555556, 18
700.000000, 0.555556, 18
710.000000, 0.555556, 18
720.000000, 0.555556, 18
730.000000, 0.777778, 18
740.000000, 0.776121, 19
750.000000, 0.775000, 20
760.000000, 0.773810, 21
770.000000, 0.772586, 22
780.000000, 0.771739, 23
790.000000, 0.770833, 24
800.000000, 0.770000, 25
810.000000, 0.769231, 26
820.000000, 0.768519, 27
830.000000, 0.767857, 28
840.000000, 0.767241, 29
850.000000, 0.766667, 30
860.000000, 0.669355, 31
870.000000, 0.766129, 31
880.000000, 0.765625, 32
890.000000, 0.765152, 33
900.000000, 0.764706, 34
910.000000, 0.764239, 35
920.000000, 0.763889, 36
930.000000, 0.526986, 37
940.000000, 0.763514, 37
950.000000, 0.526316, 38
960.000000, 0.526316, 38
970.000000, 0.526280, 38
980.000000, 0.526316, 38
990.000000, 0.526316, 38
1000.000000, 0.526316, 38
1010.000000, 0.526316, 38
1020.000000, 0.532895, 38
1030.000000, 0.526316, 38
1040.000000, 0.526284, 38
1050.000000, 0.526316, 38
1060.000000, 0.526316, 38
1070.000000, 0.526316, 38
1080.000000, 0.638158, 38
1090.000000, 0.526316, 38
1100.000000, 0.526287, 38
1110.000000, 0.585526, 38
1120.000000, 0.526316, 38
1130.000000, 0.289446, 38
1140.000000, 0.289474, 38
1150.000000, 0.289474, 38
1160.000000, 0.289474, 38
1170.000000, 0.289474, 38
1180.000000, 0.289474, 38
1190.000000, 0.289446, 38
1200.000000, 0.289474, 38
1210.000000, 0.111842, 38
1220.000000, 0.289474, 38
1230.000000, 0.052632, 38
1240.000000, 0.027027, 37
1250.000000, 0.006944, 36
1260.000000, 0.000000, 35
1270.000000, 0.000000, 34
1280.000000, 0.000000, 33
1290.000000, 0.000000, 32
1300.000000, 0.000000, 31
1310.000000, 0.000000, 30
1320.000000, 0.000000, 29
1330.000000, 0.000000, 28
1340.000000, 0.000000, 27
1350.000000, 0.000000, 26
1360.000000, 0.000000, 25
1370.000000, 0.000000, 24
1380.000000, 0.000000, 23
1390.000000, 0.000000, 22
1400.000000, 0.000000, 21
1410.000000, 0.000000, 20
1420.000000, 0.000000, 19
1430.000000, 0.000000, 18
1440.000000, 0.250000, 17
1450.000000, 0.338235, 17
1460.000000, 0.250000, 17
1470.000000, 0.323529, 17
1480.000000, 0.500000, 17
1490.000000, 0.500000, 17
1500.000000, 0.500000, 17
1510.000000, 0.500000, 17
1520.000000, 0.750000, 17
1530.000000, 0.750000, 18
1540.000000, 0.750000, 19
1550.000000, 0.750000, 20
1560.000000, 0.750000, 21
1570.000000, 0.409091, 22
1580.000000, 0.827273, 22
1590.000000, 0.895652, 23
1600.000000, 1.000000, 24
1610.000000, 0.973333, 25
1620.000000, 0.964957, 26
1630.000000, 1.000000, 27
1640.000000, 0.972870, 28
1650.000000, 0.986419, 29
1660.000000, 0.989027, 30
1670.000000, 0.996648, 31
1680.000000, 0.986415, 32
1690.000000, 0.991092, 33
1700.000000, 0.983460, 34
1710.000000, 0.996573, 35
1720.000000, 0.998638, 36
1730.000000, 0.989128, 37
1740.000000, 0.992628, 38
1750.000000, 0.996871, 39
1760.000000, 0.984534, 40
1770.000000, 0.982307, 41
1780.000000, 0.986053, 42
1790.000000, 0.979636, 43
1800.000000, 0.973189, 44
1810.000000, 0.967689, 45
1820.000000, 0.961261, 46
1830.000000, 0.945129, 47
1840.000000, 0.935848, 48
1850.000000, 0.925820, 49
1860.000000, 0.913349, 50
1870.000000, 0.899019, 51
1880.000000, 0.882218, 52
1890.000000, 0.742537, 53
1900.000000, 0.500000, 54
1910.000000, 0.500000, 54
1920.000000, 0.500000, 54
1930.000000, 0.500000, 54
1940.000000, 0.500000, 54
1950.000000, 0.500000, 54
1960.000000, 0.500000, 54
1970.000000, 0.500000, 54
1980.000000, 0.500000, 54
1990.000000, 0.250000, 54
2000.000000, 0.384259, 54
2010.000000, 0.250000, 54
2020.000000, 0.250000, 54
2030.000000, 0.250000, 54
2040.000000, 0.250000, 54
2050.000000, 0.250000, 54
